Product SKU,,Product Title,Price,Product Description,Collection,Variants (If Any Exist),Variant Values (If Variants Exist),Product Weight ,Product Height,Inventory,Taxable?,Cost (Optional),Image File Name,Notes (Please Confirm)
GMD-MOE-150-RD-925-WH,,Classic Round Stud Earrings,$175,"Experience timeless luxury with these 1.50 CTW Round Brilliant Moissanite Stud Earrings crafted from genuine 925 Sterling Silver and finished in premium rhodium plating for lasting brilliance. Each earring features a dazzling 0.75-carat D Color VVS1 Moissanite secured in a classic four-prong basket setting, maximizing light reflection and fire. Designed for everyday wear while offering the look of high-end diamond studs, these earrings are lightweight, hypoallergenic, and perfect for both men and women. Whether worn casually or for special occasions, these classic studs deliver exceptional sparkle at an outstanding value.",GoldMoufDog Essentials Collection,,,1.50 CTW * 0.75 CT each earring,5.2 mm,,,,gmd-moe-150-rd-925-wh.webp,
GMD-MOE-084-SQ-925-WH,,Square Cluster Stud Earrings,$175,"Add timeless brilliance to your jewelry collection with these 0.84 CTW Square Cluster Moissanite Stud Earrings, crafted in genuine 925 Sterling Silver with a premium rhodium finish for enhanced shine and durability. Each earring features a cluster of sparkling D Color VVS1 Moissanite stones, creating the appearance of a larger center stone while maximizing fire and brilliance. The classic square silhouette offers a modern, luxurious look that's perfect for everyday wear or special occasions. Lightweight, hypoallergenic, and expertly crafted, these earrings provide exceptional sparkle at an incredible value.",GoldMoufDog Essentials Collection,,,0.84 CTW * 0.42 CT each earring,4.5 mm,,,,gmd-moe-084-sq-925-wh.webp,
GMD-MOE-212-CRH-925-WH,,Cross Drop Hoop Earrings,$175,"Showcase your faith with luxury and brilliance in these 2.12 CTW Moissanite Cross Drop Hoop Earrings. Crafted from genuine 925 Sterling Silver and finished with a premium rhodium plating, each earring features a sparkling pave-set cross suspended from a stone-lined hinged hoop. The premium D Color VVS1 Moissanite stones deliver exceptional fire and brilliance, offering the luxurious appearance of fine diamond jewelry. Designed with a secure click-lock hoop closure, these earrings are comfortable enough for everyday wear while making a bold statement for special occasions. Perfect for both men and women, these cross earrings blend timeless symbolism with modern luxury.",GoldMoufDog Faith Collection,,,2.12 CTW * 1.06 CT each earring,33 mm,,,,gmd-moe-212-crh-925-wh.webp,
GMD-MOE-0266-STR-925-WH,,Star Stud Earrings,$130,"Shine bright with these elegant 0.266 CTW Star Moissanite Stud Earrings, expertly crafted from genuine 925 Sterling Silver and finished with premium rhodium plating for lasting brilliance. Each star-shaped stud is adorned with D Color VVS1 Moissanite stones in a micro pave setting, creating exceptional sparkle in a delicate celestial design. Lightweight, hypoallergenic, and versatile, these earrings are perfect for everyday wear while adding a subtle touch of luxury. Their timeless star silhouette makes them a thoughtful gift or a stylish addition to any jewelry collection.",GoldMoufDog Celestial Collection,,,0.266 CTW * 0.133 CT per earring,2.8 mm,,,,gmd-moe-0266-str-925-wh.webp,
GMD-MOE-100-EM-925-WH,,Emerald Cut Stud Earrings,$130,"Refined and sophisticated, these 1.00 CTW Emerald Cut Moissanite Stud Earrings are crafted from genuine 925 Sterling Silver with a brilliant rhodium finish for lasting shine. Each earring showcases a 0.50-carat D Color VVS1 Emerald Cut Moissanite, securely held in a classic four-prong basket setting that highlights the stone's elegant step-cut facets and mirror-like brilliance. Designed for those who appreciate timeless luxury, these minimalist stud earrings offer exceptional sparkle and versatility, making them perfect for both everyday wear and formal occasions.",GoldMoufDog Signature Collection,,,1.00 CTW * 0.50 CT per earring,4.8 mm,,,,gmd-moe-100-em-925-wh.webp,
GMD-MOE-154-FLR-925-WH,,Flower Cluster Stud Earrings,$175,"Bloom with brilliance in these 1.54 CTW Flower Cluster Moissanite Stud Earrings, beautifully crafted from genuine 925 Sterling Silver and finished with a premium rhodium plating for exceptional shine and durability. Each earring features a floral cluster of D Color VVS1 Round Brilliant Moissanite stones, creating the illusion of a larger center stone while delivering breathtaking sparkle from every angle. Elegant enough for formal occasions yet subtle enough for everyday wear, these flower-inspired studs are lightweight, hypoallergenic, and designed to complement any jewelry collection.",GoldMoufDog Blossom Collection,,,1.54 CTW * 0.77 CT per earring,4.8 mm,,,,gmd-moe-154-flr-925-wh.webp,
GMD-BBK-MOI-925-WH,,Luxury Iced Out Belt Buckle,$875,"Make a bold statement with this Luxury Iced Moissanite Belt Buckle, expertly crafted from genuine 925 Sterling Silver and fully handset with premium D Color VVS1 Moissanite stones. Featuring an intricate openwork cross-inspired scroll design, this buckle combines timeless craftsmanship with exceptional brilliance, creating a standout luxury accessory. Finished with a high-polish rhodium plating for enhanced shine and durability, the buckle is designed to fit standard 1.5-inch belts and offers the look and fire of fine diamond jewelry at a fraction of the cost. Whether paired with designer denim or formal attire, this piece delivers unmatched style and sophistication.",GoldMoufDog Luxury Accessories Collection,,,140-165 grams,3.30 in (84 mm),,,,gmd-bbk-moi-925-wh.webp,
GMD-BBK-MOI-YG,,Luxury Yellow Gold Iced Out Belt Buckle,"$1,050","Elevate your look with the Luxury Yellow Gold Iced Moissanite Designer Belt Buckle, a statement accessory designed for those who appreciate premium craftsmanship and bold style. Featuring an intricate openwork cross scroll design, this buckle is meticulously hand-set with D Color VVS1 Round Brilliant Moissanite stones that deliver exceptional brilliance and fire. Finished in a rich high-polish yellow gold plating, this buckle combines timeless elegance with modern luxury. Designed to fit standard 1.5-inch belts, it's the perfect finishing touch for designer streetwear, western fashion, or formal attire.",GoldMoufDog Luxury Accessories Collection,,,140-165 grams,3.30 in (84 mm),,,,gmd-bbk-moi-yg.webp,
GMD-WAT-GSH-RED-ND,,Red Diamond G-Shock Watch | Single Cut Natural VS/SI Diamonds,"$3,400","Stand out with the Custom Red Diamond G-Shock Watch, a bold fusion of iconic G-Shock durability and luxury craftsmanship. This custom timepiece features a vibrant red analog-digital dial surrounded by a hand-set bezel fully iced with 100% natural G-H color VS/SI single-cut diamonds, creating exceptional brilliance from every angle. Built on the legendary G-Shock platform, this watch maintains its rugged durability while delivering an unmistakable luxury aesthetic. Whether you're dressing for everyday wear or making a statement at a special event, this custom diamond watch combines performance, reliability, and high-end style.",GoldMoufDog Luxury Timepieces Collection,,,60-70 grams,48.5 mm,,,,gmd-wat-gsh-red-nd.webp,
GMD-CHN-BMCL-1224-BK,,Black Moissanite Closed Link Cuban Chain,"$1,500","Turn heads with the Black Moissanite Closed Link Cuban Chain, crafted from genuine 925 Sterling Silver and finished in a sleek black rhodium plating. Measuring 12mm wide and 24 inches long, this chain is fully hand-set with premium black round brilliant moissanite stones, delivering a bold, modern look with exceptional brilliance. The closed-link Cuban design creates a seamless appearance, while the secure double safety box clasp ensures durability for everyday wear. Whether worn alone or paired with a pendant, this luxury chain is designed for those who appreciate distinctive craftsmanship and standout style.",GoldMoufDog Elite Collection,,,220-260 grams,12 mm,,,,gmd-chn-bmcl-1224-bk.webp,"Sheet describes this SKU as BLACK rhodium, but the client's own reference photo (IMG_2083.JPG) shows a white/silver-tone chain, not black. Used it anyway since it's the only chain SKU on the sheet -- please confirm with client whether the black chain exists as a separate unphotographed piece before listing on Shopify."
